"mztime"	"VK_180504_097"	"VK_180504_103"	"VK_180504_121"	"VK_180504_127"	"VK_180504_145"	"VK_180504_151"	"VK_180504_181"	"VK_180504_187"	"VK_180504_205"	"VK_180504_211"
"mztime"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"
"102.0548456/287.2072152"	"9999177.741"	"11250879.25"	"5572940.547"	"7420170.993"	"10750932.87"	"56897812"	"10388068.03"	"6908169.367"	"7528606.62"	"11404912.07"
"102.0660763/109.1744218"	"18779618.07"	"18162802.2"	"15392021.35"	"18412229.74"	"15301013.61"	"13450205.58"	"11471265.03"	"11026650.11"	"14073168.19"	"10889327.06"
"102.066089/37.3900136"	"7848832.876"	"13269524.9"	"11396027.89"	"9775811.217"	"6114203.274"	"11319643.5"	"6153456.815"	"5658769.143"	"6104133.404"	"6261646.997"
"102.0911984/122.5593534"	"43243136.39"	"36185454.87"	"36003429.05"	"38280768.92"	"34913533.22"	"26954611.51"	"33865571.99"	"33445546.29"	"24306969.93"	"34538379.92"
"102.0912328/232.1185248"	"24375177.38"	"42110838.6"	"56897812"	"25090539.34"	"56897812"	"56897812"	"47269843.04"	"52347207.3"	"48091147.4"	"40245036.69"
"102.1042861/103.3556362"	"6457627.675"	"9480193.731"	"10947536.98"	"4263846.129"	"6834326.986"	"9069104.16"	"7841662.006"	"10865815.09"	"6902504.843"	"7494724.457"
"102.1276384/33.64558978"	"1297323.561"	"1737013.434"	"56897812"	"2331141.116"	"2206963.719"	"56897812"	"2225567.034"	"1156650.281"	"2856506.714"	"2156141.148"
"102.3099874/274.8182336"	"630733.6929"	"56897812"	"83591.24319"	"907345.372"	"707403.7139"	"56897812"	"56897812"	"56897812"	"577130.7542"	"238136.0397"
"102.5073269/129.968363"	"4729626.492"	"16971702.99"	"24620142.08"	"4574894.094"	"5439907.969"	"19181093.96"	"6969265.9"	"7974639.679"	"7134263.143"	"6430483.351"
"103.0388667/264.1872296"	"2252190.527"	"1697467.062"	"1523042.97"	"56897812"	"2836444.121"	"1647949.184"	"1369083.347"	"2141319.523"	"2699001.88"	"1879188.479"
"103.0388738/18.13289633"	"559694.8799"	"908082.1832"	"1082634.479"	"354867.7246"	"431863.625"	"725719.8531"	"635014.7646"	"516847.579"	"244863.459"	"584212.7779"
"103.0752769/27.08690376"	"4208389.351"	"1539678.837"	"4070626.934"	"3496426.196"	"1847467.992"	"6459161.188"	"56897812"	"2383663.734"	"2582630.02"	"56897812"
