"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"158.0212299","C00263","M+K[1+]","0.000253433230000155"
"158.0212299","C00820","M+K[1+]","0.000253433230000155"
"158.0212299","C01005","M-CO+H[1+]","5.34332299935159e-05"
"158.0212299","C01041","M-H2O+H[1+]","0.000253433230000155"
"195.1225404","C00884","M-HCOOH+H[1+]","0.00153606677000084"
"195.1225404","C01262","M-HCOOH+H[1+]","0.00153606677000084"
"454.8287065","C01244","M+Na[1+]","0.00393003323000585"
"429.0207192","C00104","M+H[1+]","4.2733229975056e-05"
"429.0207192","C01347","M+H[1+]","4.2733229975056e-05"
"132.0070416","C00036","M[1+]","0.00114160000001107"
"276.0188291","C01218","M(C13)+H[1+]","0.000847366770017288"
"136.0392146","C00262","M[1+]","0.000714600000009114"
"136.0392146","C00632","M-H2O+H[1+]","6.18667699825437e-05"
"136.0392146","C01252","M-C3H4O2+H[1+]","0.000161866770014285"
"136.0392146","C01270","M-H2O+H[1+]","6.18667699825437e-05"
"383.2781796","C01120","M(C13)+H[1+]","0.00310313322995626"
"183.1126522","C00931","M-CO2+H[1+]","0.000224266770004533"
"237.9976187","C00506","M+HCOONa[1+]","0.00155776676999153"
"155.1428669","C00843","M+H[1+]","0.000209566769996172"
"155.1428669","C01411","M+H[1+]","0.000209566769996172"
"155.1428669","C00521","M+H2O+H[1+]","0.000209566770024594"
"130.0650361","C00079","M-H4O2+H[1+]","4.0366770036826e-05"
"130.0650361","C00954","M-HCOOH+H[1+]","0.000140366770011724"
"130.0650361","C01386","M-HCOOH+H[1+]","0.000140366770011724"
"187.0154996","C00423","M+K[1+]","0.000323133229983341"
"263.2363985","C00517","M+Na[1+]","0.00182203322998475"
"263.2363985","C00523","M-CO+H[1+]","0.000477966770006333"
"263.2363985","C00869","M-H4O2+H[1+]","0.000477966770006333"
"192.9761273","C00265","M+K[1+]","0.00115083322998544"
"192.9761273","C00593","M+HCOONa[1+]","0.00154916676999051"
"192.9761273","C00950","M+K[1+]","0.00115083322998544"
"197.1170859","C01223","M-H2O+H[1+]","0.00120943323000233"
"137.0248032","C00149","M(S34)+H[1+]","0.00022673322999367"
"137.0248032","C00149","M(Cl37)+H[1+]","0.00117326676999596"
"137.0248032","C00497","M(S34)+H[1+]","0.00022673322999367"
"137.0248032","C00497","M(Cl37)+H[1+]","0.00117326676999596"
"137.0248032","C00711","M(S34)+H[1+]","0.00022673322999367"
"137.0248032","C00711","M(Cl37)+H[1+]","0.00117326676999596"
"128.042177","C01108","M(C13)+H[1+]","0.000199466769998935"
"500.3260858","C01023","M-HCOOK+H[1+]","0.00119066677001456"
"123.116683","C00848","M-HCOOH+H[1+]","0.000193466769999873"
"116.994637","C00009","M+H2O+H[1+]","0.000139466769994101"
"116.994637","C00132","M+HCOOK[1+]","0.000139466769994101"
"137.0960302","C00590","M-CO2+H[1+]","4.62667699991925e-05"
"137.0960302","C00951","M+2H[2+]","4.62667699991925e-05"
"698.2191589","C01280","M-HCOOH+H[1+]","0.00328243322996968"
"237.1116919","C00848","M+HCOONa[1+]","0.00201543323001374"
"237.1116919","C00939","M-HCOOH+H[1+]","0.00211543322998864"
"210.0970416","C00328","M(C13)+H[1+]","0.0015651332300024"
"210.0970416","C00835","M-CO+H[1+]","0.0014348667699835"
"210.0970416","C01133","M-CO+H[1+]","0.000134866769997188"
"131.0105924","C00116","M+K[1+]","0.000515933229991106"
"131.0105924","C00469","M+HCOOK[1+]","0.000115933230006249"
"131.0105924","C00472","M+Na[1+]","0.000215933229981147"
"115.0631342","C00148","M[1+]","0.000165800000004879"
"115.0631342","C00763","M[1+]","0.000165800000004879"
"157.0857916","C00588","M-CO+H[1+]","0.000384866770019698"
"546.9662842","C00700","M+Na[1+]","0.00230773323005451"
"537.0760649","C00789","M[1+]","3.50999999909618e-05"
"210.075887","C00931","M-NH3+H[1+]","0.000289466770027502"
"210.075887","C00826","M-H2O+H[1+]","0.000189466769995761"
"874.5172834","C00744","M-CO+H[1+]","0.00150693322996176"
"89.05960597","C00246","M+H[1+]","7.04967699931558e-05"
"89.05960597","C00466","M+H[1+]","7.04967699931558e-05"
"89.05960597","C00810","M+H[1+]","7.04967699931558e-05"
"89.05960597","C00849","M+H[1+]","7.04967699931558e-05"
"89.05960597","C00093","M-HCOOK+H[1+]","7.04967699931558e-05"
"89.05960597","C00141","M-CO+H[1+]","2.95032300101639e-05"
